name,address,other_address
코인워시24 수유점,서울 강북구 도봉로76길 16,(지번) 미아동 187-37
워시엔조이 강북수유점,서울 강북구 삼양로 485 1층,(지번) 수유동 285-6
24시셀프빨래방,서울 도봉구 덕릉로60길 9,(지번) 창동 446-3
크린토피아 코인워시 쌍문점,서울 도봉구 노해로41길 22 1층,(지번) 쌍문동 306-9
크린토피아 코인워시 강북우이시장점,서울 강북구 한천로160길 9 1층,(지번) 수유동 254-4
크린토피아 코인워시 수유벽산점,서울 강북구 삼양로112길 29 1층,(지번) 수유동 208-80
크린토피아 코인워시365 수유3동점,서울 강북구 노해로11길 31,(지번) 수유동 23-43
크린토피아 코인워시365 덕성여대점,서울 도봉구 우이천로 481-1 덕성블루빌 1층,(지번) 쌍문동 492-23
워시프렌즈 창동녹천역점,서울 도봉구 덕릉로 398 주공17단지복합상가 103호,(지번) 창동 38-1
크린토피아 코인워시365 신창초교점,서울 도봉구 우이천로12길 29,(지번) 창동 537-15
화이트365 수유시장점,서울 강북구 삼양로74길 76,(지번) 미아동 237-15
셀프빨래방 창동점,서울 도봉구 도봉로104길 103 1층 24시 셀프 빨래방,(지번) 창동 623-40
워시하우스 수유점,서울 강북구 도봉로95길 34 1층,(지번) 수유동 172-215
크린업24 번동점,서울 강북구 오현로31길 13,(지번) 번동 313-1
워시엔조이 쌍문점,서울 도봉구 우이천로 346-9 1층,(지번) 쌍문동 349-29
위워시 번동점,서울 강북구 한천로132길 63,(지번) 번동 465-93
크린업24 수유점,서울 강북구 인수봉로78길 31,(지번) 수유동 293-3
워시엔조이 쌍문2동점,서울 도봉구 도봉로125길 48,(지번) 쌍문동 683-1
크린토피아 코인워시 수유역점,서울 강북구 도봉로97길 26 1층,(지번) 수유동 169-5
엔조이,서울 강북구 도봉로87길 3-10,(지번) 수유동 229-38
크린업24 강북구청점,서울 강북구 한천로140길 11-14,(지번) 수유동 176-40
워시프렌즈셀프빨래방 노원월계2동점,서울 노원구 초안산로5길 12,(지번) 월계동 776
화이트365 창동점,서울 도봉구 도봉로106길 71,(지번) 창동 623-6
더런드리 쌍문점,서울 도봉구 노해로 234 1층,(지번) 쌍문동 143-7
코인워시인덕대점,서울 노원구 초안산로2라길 23,(지번) 월계동 274
코인워시24 수유4.19점,서울 강북구 삼각산로 144,(지번) 수유동 37-1
해피워시24코인워시 수유점,서울 강북구 도봉로 290 106호,(지번) 미아동 160-3
화이트365 화계역점,서울 강북구 삼양로85길 46,(지번) 수유동 472-112
런드리나인 셀프빨래방 오패산점,서울 강북구 오패산로52길 45,(지번) 미아동 258-527
크린토피아 코인워시365 도봉신화초교점,서울 도봉구 우이천로4라길 37 1층,(지번) 창동 504-16
더런드리셀프빨래방 쌍문점,서울 도봉구 노해로 234,(지번) 쌍문동 143-7
워시엔조이 셀프빨래방 수유역점,서울 강북구 오패산로77길 13-1 다우빌딩 1층,(지번) 번동 445-50
버블맨24 수유1호점,서울 강북구 노해로23길 17,(지번) 수유동 252-136
스피드퀸,서울 강북구 한천로109길 82,(지번) 번동 157-3
크린업24 셀프빨래방 마곡점,서울 강서구 강서로 433 마곡오드카운티2차 121호,(지번) 마곡동 784-9
크린토피아 코인워시 목2동주민센터점,서울 양천구 목동중앙본로 88-1 윤순빌딩 1층,(지번) 목동 555-2
더런드리 가양점,서울 강서구 양천로 443-36 103호,(지번) 가양동 1479-3
크린토피아 코인워시 화곡보람점,서울 강서구 까치산로4길 36 1층,(지번) 화곡동 98-101
워시테리아 신월점,서울 양천구 월정로50길 18-1,(지번) 신월동 19-3
크린업24셀프빨래방 등촌점,서울 강서구 화곡로68길 132,(지번) 등촌동 636
워시엔조이 등촌역점,서울 강서구 공항대로57길 27,(지번) 등촌동 646-39
크린토피아 코인워시 목3동주민센터점,서울 양천구 목동중앙북로8길 64,(지번) 목동 646-12
워시엔조이 화곡점,서울 강서구 화곡로25길 35,(지번) 화곡동 1049-5
코인워시24빨래터 강서구청점,서울 강서구 까치산로 101,(지번) 화곡동 971-4
워시스토리 목2동점,서울 양천구 목동중앙북로16길 24 1층,(지번) 목동 535-3
버블맨24 신목동점,서울 양천구 목동중앙로13가길 14,(지번) 목동 128-14
크린업24 가양역점,서울 강서구 화곡로68길 16 한빛더웨스트윙스,(지번) 등촌동 639-4
워시엔조이 셀프빨래방 강서마곡점,서울 강서구 방화대로8길 38 1층,(지번) 공항동 1345-2
셀빨래방 화곡점,서울 강서구 까치산로 123,(지번) 화곡동 977-4
크린토피아 코인워시 목동시장점,서울 양천구 목동중앙남로 72 공덕빌라 1층 104호,(지번) 목동 718-2
백의민족 셀프빨래방 등촌점,서울 강서구 등촌로39길 17 1층 2호,(지번) 등촌동 514-2
워시하우스,서울 강서구 공항대로 213 보타닉파크타워2 913호,(지번) 마곡동 727-1128
코인워시24 목동점,서울 양천구 목동중앙북로8라길 34 1층 101호,(지번) 목3동 621-11
크린토피아 코인워시 강서마곡벨리오점,서울 강서구 강서로 439 벨리오 110호,(지번) 마곡동 727-1229
크린토피아 코인워시 강서등촌주민센터점,서울 강서구 양천로60길 60 이수빌딩  1층,(지번) 등촌동 641-12
크린업24 염창점,서울 강서구 공항대로65길 65,(지번) 염창동 266-14
크린토피아 코인워시 화곡6동점,서울 강서구 화곡로50길 16 1층,(지번) 화곡동 975-31
아쿠아워시 강서구청사거리점,서울 강서구 화곡로64길 2 경동미르웰상가 1층,(지번) 등촌동 656
크린업24셀프빨래방 내발산점,서울 강서구 강서로48길 33 1층,(지번) 내발산동 676-21
크린토피아 코인워시365 등촌진로아파트점,서울 강서구 화곡로63길 133 1층,(지번) 등촌동 663-3
워시테리아빨래방 목동점,서울 양천구 목동중앙본로 24 1층,(지번) 목동 751-3
워시테리아 화곡점,서울 강서구 화곡로31길 79 1층,(지번) 화곡동 1030
크린토피아 코인워시 강서마곡6단지점,서울 강서구 마곡서1로 100 6단지 상가 101호,(지번) 마곡동 731-79
AMPM워시큐 마곡나루역점,서울 강서구 마곡중앙5로 6,(지번) 마곡동 282-2
브로스셀프빨래방 화곡점,서울 강서구 강서로37길 17 1층,(지번) 화곡동 1035
크린토피아 코인워시 강서마곡11단지점,서울 강서구 공항대로 124 11단지 상가,(지번) 마곡동 730-431
아쿠아워시 서울강서화곡동점,서울 강서구 화곡로 346 귀뚜라미홈시스텔 1층 106호,(지번) 화곡동 1111-2
워시타임 화곡8동점,서울 강서구 초록마을로32길 1,(지번) 화곡동 412-1
크린업24 화곡3동점,서울 강서구 화곡로13길 137,(지번) 화곡동 1015-22
더런드리 목동중앙점,서울 양천구 목동중앙남로14가길 49 1층,(지번) 목동 711-2
24시셀프빨래방 신이주단지점,서울 강서구 방화대로6길 24 1층,(지번) 공항동 1362-6
크린토피아 코인워시 목동강서고교점,서울 양천구 목동중앙남로 7 1층,(지번) 목동 772-4
워시프렌즈 마곡점,서울 강서구 강서로 447 미르웰플러스 오피스텔 113호,(지번) 마곡동 784-4
